provider,card_number,is_stolen
amex,374463588173854,0
visa16,4177288412961708,0
mastercard,5342908339944753,0
amex,377689703154869,1
mastercard,5297687840094382,0
visa16,4022981406584992,0
mastercard,5200337635156840,0
mastercard,5151312864486662,1
visa16,4351621957061286,0
visa16,4413498039834337,0
visa16,4084558491317762,0
visa16,4593246963112614,0
amex,346315751402517,1
visa16,4425857420569271,0
visa16,4593335510360949,0
visa16,4448289560975600,0
visa16,4093208197333890,0
amex,379094909481257,1
mastercard,5224134705305247,0
visa16,4178523657759691,0
visa16,4073294284706853,0
visa16,4746650917399159,0
mastercard,5165568658454323,0
mastercard,5205601118816864,1
mastercard,5102748012257838,0
visa16,4822790133000202,1
visa13,4453891008564,0
mastercard,5297731836915067,0
visa16,4060555945630145,0
visa16,4489080741270965,0
visa13,4462272887892,0
mastercard,5160955387066046,1
amex,379247245225677,0
visa13,4448640513252,0
visa13,4580515438627,0
amex,348494539189536,0
visa16,4636441281106021,0
visa16,4952731090694993,1
amex,377231578794972,0
visa16,4021642666412438,0
mastercard,5109127333110500,1
mastercard,5171744379610962,0
visa16,4687162252303888,0
visa13,4901350544644,0
amex,342762697179390,0
visa16,4024198947738445,0
mastercard,5398400836520958,0
visa13,4444786756813,1
amex,347777439482592,0
mastercard,5321159038385436,0
mastercard,5185250864247769,0
visa16,4512053045130038,0
mastercard,5351465200990967,1
visa16,4576143960922353,0
mastercard,5306498493974253,0
visa16,4136291741975555,0
mastercard,5339309380376059,1
visa16,4451320013579253,0
mastercard,5200440528460764,0
visa16,4174678753365043,0
visa13,4792399157351,1
amex,349005504709832,0
amex,371840266260181,0
visa16,4940935767739446,0
amex,376857765588941,0
visa16,4790283923245748,1
visa16,4023543011353319,0
amex,343839132053130,0
visa16,4258963626369227,0
mastercard,5396666317463742,0
visa16,4714590594392036,0
visa16,4436602640932033,0
visa16,4406310287081413,1
visa16,4921516827945158,0
amex,342254552729824,0
visa16,4043964894598398,1
mastercard,5358517459350674,0
amex,373565645717845,0
visa13,4789817725868,0
mastercard,5130737934284364,1
visa13,4514057127181,0
mastercard,5311445775277155,0
mastercard,5392703132118690,0
amex,343314350882057,0
mastercard,5111778674598970,0
visa16,4149219382756559,0
amex,376722180326329,0
visa16,4138486202841431,1
mastercard,5349061014450689,0
mastercard,5331078200388341,1
visa13,4678354342742,0
visa16,4253470838762707,0
mastercard,5128406222158847,0
amex,346594393025213,0
mastercard,5318210389105553,0
visa16,4996536687496647,1
visa16,4325832108446390,0
mastercard,5375657398572431,0
visa13,4901620245501,0
visa16,4129438244536462,0
visa16,4996376072661780,1
visa16,4784921450420741,0
mastercard,5177975968160894,0
visa16,4061670403486762,0
visa13,4406258689277,0
visa16,4205208661238463,0
visa16,4752370075075449,0
amex,371990380469513,1
mastercard,5259659585322605,0
visa13,4109818947264,0
mastercard,5334771386994661,0
visa16,4294058195175588,0
visa13,4363343077036,0
visa13,4978205544987,1
visa13,4304082781552,1
mastercard,5102207163280370,0
mastercard,5299427941523742,0
visa13,4704835597546,0
mastercard,5358429719278143,0
mastercard,5290326181096063,0
visa13,4535476650149,0
visa16,4618714394776985,0
amex,373644851533061,0
amex,376137463248712,1
mastercard,5272436750304988,1
amex,341467895835881,0
amex,342906687782073,0
visa13,4634166022683,0
visa16,4132875065655670,0
mastercard,5384428984587293,0
amex,373577439783206,0
mastercard,5127202993955771,1
amex,340629312708303,0
mastercard,5141356260784645,0
visa13,4706886190543,0
visa13,4975716767529,0
visa13,4655600619248,1
amex,375607123630096,0
mastercard,5162728538406447,0
mastercard,5141593475377308,1
visa16,4797145350328680,0
mastercard,5112377808701839,0
visa16,4098252177941459,0
visa16,4858090635121649,0
visa16,4556132827750812,1
amex,374984735403092,0
visa13,4028375918338,0
visa16,4246273409301925,0
amex,341163389877584,0
mastercard,5348085325278118,0
amex,341322311662015,0
amex,347980418658519,0
visa13,4285797062851,0
visa13,4034022670462,1
visa13,4942639130383,0
amex,343952719006577,1
visa13,4220942563156,0
mastercard,5397145786192610,0
amex,347282476044900,0
mastercard,5155087582223060,0
amex,348988930682965,0
mastercard,5361801415916249,1
visa16,4425779508539853,0
visa16,4720714422487923,0
visa16,4847858487485435,0
amex,344703582076877,0
visa16,4082098877701752,0
amex,378008194134323,0
visa13,4836393895761,1
amex,378399990825358,0
mastercard,5212007292436696,0
visa13,4159216629956,0
visa13,4042337499980,0
amex,340002816055573,1
mastercard,5165610418879066,0
visa16,4406393828787433,1
mastercard,5276066922912339,0
mastercard,5220814252035263,0
visa16,4218547504433962,0
visa16,4079988243709080,0
amex,374890666833308,1
visa16,4565695544540020,0
visa16,4072227751339981,0
mastercard,5290172315426846,0
visa16,4191492598716827,1
visa16,4320262490272599,0
mastercard,5331957178143475,0
visa13,4442441490729,0
amex,377112312454828,0
visa16,4633581631981632,0
mastercard,5385765685460554,0
visa16,4408888387930876,1
visa16,4119742879970678,0
visa16,4477173156077605,0
mastercard,5220278873337286,0
mastercard,5166370278780479,0
visa16,4089594811367174,0
mastercard,5323587833720407,0
visa16,4117288708624229,1
visa13,4282931937155,0
mastercard,5192505339003027,1
mastercard,5141672108278503,0
visa16,4669066660360764,0
mastercard,5186227505760698,0
visa13,4965566259818,0
visa13,4689348175361,1
amex,375381099770258,0
visa16,4509436144449232,0
visa16,4620934563673112,0
visa13,4107241542777,0
visa13,4515035554289,0
visa13,4374228460288,1
amex,342646218848288,0
amex,341571796972378,0
amex,349715768078985,0
visa16,4815050210822187,1
mastercard,5230359237798138,0
amex,348379635536310,0
visa16,4868451228188643,0
visa16,4713833028206393,1
amex,376925774168854,0
visa16,4225565978148396,0
mastercard,5392858771528185,0
visa16,4925794187031861,0
visa16,4791920543542413,0
visa16,4166524993013011,0
mastercard,5119816580632814,1
visa16,4535385880031084,0
visa16,4534391676584212,0
amex,344486998311175,0
mastercard,5362065585796240,0
mastercard,5258618037448732,1
amex,371016229230724,0
amex,375316524783237,0
mastercard,5144673272303421,1
amex,374300748627959,0
visa16,4981154939074001,0
visa16,4820167533101355,0
amex,340729267385592,0
mastercard,5290132534043764,0
visa16,4279697156544859,0
mastercard,5327001631191916,0
visa16,4352454969600944,1
mastercard,5377879509572823,0
visa16,4565021899464536,0
mastercard,5199908091611321,1
amex,345202265544995,0
visa13,4468871764432,0
visa16,4821762642875946,0
visa16,4658949727998341,0
visa13,4821098437606,0
visa16,4377672316482036,1
visa16,4223697559330069,0
mastercard,5376473922737980,0
amex,372717694059790,0
amex,341199792037986,1
visa16,4334680732822836,0
amex,373939716934441,0
amex,340526973419222,0
amex,371303823478168,1
visa16,4947622673466883,0
amex,344868100161681,0
amex,371799299839645,0
visa13,4025576933140,0
amex,372164203367176,0
amex,379927309109491,0
visa13,4157981994118,0
visa16,4825041176812989,1
visa16,4381519721188563,0
mastercard,5395871465962054,0
visa13,4822125318983,0
visa13,4126948069413,1
amex,347514598615120,0
visa16,4834623354930888,0
visa13,4014555941670,0
visa16,4691426275282187,1
visa16,4119622732009130,0
mastercard,5183067495186766,0
visa16,4685795619124901,0
visa16,4956259155455205,0
visa16,4858874901667249,0
visa16,4811178126518104,0
amex,345646220551752,0
mastercard,5391476364081743,1
visa13,4783776058338,0
mastercard,5335244160191598,0
amex,372864610688011,0
mastercard,5141727407762779,0
amex,370115591953128,1
visa16,4426932091764052,0
amex,377766873668850,1
visa16,4396524278201374,0
amex,375576895994008,0
mastercard,5271451309988422,0
visa13,4774371450129,1
amex,347076830187227,0
mastercard,5289404882582286,0
mastercard,5299086701958694,0
visa16,4277348533080975,0
visa16,4318659432898429,0
visa16,4022832959561814,0
visa16,4623483009732220,1
amex,371636147852182,0
mastercard,5351728569096100,0
visa16,4800078478929839,0
visa16,4265829747414997,0
amex,341875422944267,0
mastercard,5395364136728260,0
amex,343473876096939,1
visa16,4833831958621180,0
mastercard,5149542799506706,0
visa13,4810464185337,1
mastercard,5264001609587157,0
mastercard,5329443901815683,0
mastercard,5329398492422614,0
amex,370392111397223,0
mastercard,5376684026033130,0
mastercard,5310845027598541,1
mastercard,5379439841701636,0
visa16,4046525996377879,0
mastercard,5198511323254174,1
visa16,4435225817969058,0
mastercard,5233626674335245,0
visa13,4717564251200,0
visa16,4713722072429474,0
mastercard,5218643627462215,0
visa13,4360527903219,0
visa16,4489613217418328,1
amex,378777202531221,0
amex,378365000766742,0
amex,346565992451380,0
visa16,4117953594141964,0
visa16,4994969928908199,0
mastercard,5300739378770555,1
mastercard,5178544328449345,0
mastercard,5155056543467231,0
amex,376956409343315,0
visa16,4412243642653240,0
visa16,4625460778293988,1
amex,346847206237890,0
amex,345332257132739,0
amex,345995769342572,0
visa16,4397866931054230,0
mastercard,5121535736009299,1
amex,370882162392206,0
visa16,4050256318730610,0
mastercard,5398432282042641,1
amex,376197319895744,0
mastercard,5385799386552609,0
visa16,4683214729721970,1
mastercard,5134274538953828,0
amex,344717122468790,0
mastercard,5108152446389826,0
visa16,4027338808954262,0
amex,372166602641150,1
amex,371825965595631,0
visa13,4278765360597,0
mastercard,5270255975047848,0
visa13,4855736735500,0
mastercard,5185449922209148,0
amex,375131474548914,0
amex,377268925701318,0
mastercard,5380497890301234,1
mastercard,5270978706299251,0
visa16,4952645981695283,0
visa16,4770407399932133,1
visa16,4793266731138277,0
visa13,4965273271221,0
visa16,4943918435326942,0
visa16,4634791085660116,0
visa16,4274715821028838,1
visa16,4517524261820796,0
mastercard,5339138624441589,0
visa13,4014938586242,0
mastercard,5273506038885617,0
mastercard,5317895571740588,0
mastercard,5199595565793840,0
visa13,4164224222133,0
visa16,4960035170161760,1
visa13,4878445698306,0
amex,374436075648141,1
visa16,4169797397741893,0
visa16,4636436652634320,0
mastercard,5135299525276312,0
visa16,4343259517400503,0
visa16,4727309250743696,0
visa16,4596428266358600,1
amex,379816963966884,0
visa13,4510728795612,0
amex,376168314355786,0
mastercard,5102450303968450,0
mastercard,5345112231479110,1
mastercard,5258751168553994,0
visa16,4784707863225706,0
visa16,4076261335568746,1
amex,372966755920081,0
mastercard,5319033327489122,0
visa16,4596107953938664,0
amex,378101619875677,0
mastercard,5304039195780184,0
amex,378412172801970,0
amex,347098486747716,0
visa13,4657238654449,1
mastercard,5247503393929679,0
visa16,4258042798582162,1
visa16,4262508055014044,0
mastercard,5200832194491786,0
visa13,4924066349967,0
visa13,4621150284668,0
mastercard,5103933171449777,1
visa16,4997725303728355,0
visa13,4364213516657,0
mastercard,5111912841599252,0
visa16,4116168400829055,0
visa16,4754377590622702,0
mastercard,5171485930036491,0
amex,349423159437239,0
amex,370937422394770,1
visa16,4336933364218080,0
mastercard,5230320775767216,0
amex,371469971696834,1
visa16,4426903412227772,0
mastercard,5399128377976672,0
visa16,4252280294761544,0
mastercard,5101972608644164,0
amex,373269327331401,0
visa13,4741177055766,0
amex,376739936703288,0
visa16,4642675794773924,1
visa16,4081304354380768,0
mastercard,5114063804471084,0
visa16,4129200846818361,0
visa16,4465118057537755,1
visa16,4650370578759955,0
mastercard,5218649408038918,0
visa16,4457363971614484,1
mastercard,5341534819308417,0
visa16,4556386687365901,0
visa16,4954285433991390,0
mastercard,5129983565532613,0
mastercard,5229786228906473,0
visa16,4236453461989278,0
mastercard,5179613754671661,0
mastercard,5258921466335572,1
mastercard,5123469497481331,0
visa16,4430217114159066,0
amex,378374552200647,1
amex,349708044253191,0
visa16,4653974541297923,0
visa16,4018326467276151,0
visa13,4211605984292,0
visa16,4186704188056233,0
amex,374230243737252,1
mastercard,5214328595664372,0
visa16,4996396679240952,0
visa16,4598690862241336,0
visa16,4339922878808954,1
mastercard,5136674032012567,0
mastercard,5262879897152541,0
visa13,4947788751335,0
visa16,4941757522886323,0
visa13,4434308256798,1
amex,345711093263644,0
mastercard,5333601816730982,0
mastercard,5296076916510961,0
visa13,4395115032161,0
amex,342067010798896,1
mastercard,5323473295663171,0
mastercard,5243704666780708,0
mastercard,5230785730668933,0
mastercard,5334807492101252,0
visa16,4977383974511447,1
mastercard,5279435216992520,0
visa13,4031820094408,0
visa13,4529326805268,0
visa13,4897794243944,0
amex,378147838195231,0
mastercard,5224117837866699,1
visa16,4529293519035492,0
visa13,4071793944239,1
visa16,4577032624336713,0
mastercard,5215991838426690,0
mastercard,5162116150359500,0
visa16,4463890255142800,0
visa13,4475892532748,0
mastercard,5297511515129242,1
mastercard,5366845105369057,0
amex,342686873986619,0
visa16,4923627934763695,0
mastercard,5130871149324184,0
mastercard,5109304231942355,1
visa16,4823079580506427,0
visa16,4189665284640203,0
amex,371397524406619,0
amex,370285285529888,0
visa16,4625244097651435,0
amex,344640591699564,1
mastercard,5189933373919020,0
mastercard,5322170463978206,0
visa16,4047766238658606,0
visa16,4407106031190404,1
visa13,4852552286155,0
visa13,4019001108824,0
amex,373884160174401,0
amex,341944681326341,0
amex,345391436733767,1
mastercard,5143832097464708,0
visa16,4912706413177487,0
mastercard,5216850906135543,0
visa16,4591278541864947,0
visa13,4134126165664,1
amex,379582853146017,0
visa16,4780266773241315,0
mastercard,5278816295744620,0
visa16,4379674739605381,0
visa16,4620303712212539,0
mastercard,5236537296907179,1
amex,376960420639321,0
mastercard,5197331895621218,0
mastercard,5248049156429175,0
visa16,4965402115663760,0
mastercard,5238136253361955,1
visa16,4405024699824481,0
mastercard,5185968064887056,0
visa13,4906949731461,0
visa16,4482728275601115,1
visa16,4114481294470924,0
mastercard,5270246760093493,0
amex,349283522738584,0
mastercard,5242098104019246,1
visa16,4542737990978292,0
mastercard,5360477402552668,0
visa16,4516583651914883,0
mastercard,5371393412175514,0
mastercard,5280874833794587,0
visa16,4775954028998196,1
visa16,4516323277986761,0
visa16,4177213686706647,0
amex,371527648953886,0
visa16,4572072723729058,0
visa13,4620407319723,0
mastercard,5236237282054793,0
visa16,4833307087588202,0
mastercard,5136068401020998,1
visa16,4051717121339138,1
visa16,4345031444631775,0
mastercard,5352504772200238,0
mastercard,5195863604204912,0
mastercard,5375425216325220,0
visa16,4273390229834863,0
visa16,4194086481618509,0
amex,344861759352263,0
amex,371821080057466,1
mastercard,5378394724007075,0
visa13,4358829488376,1
amex,343231586235217,0
amex,376805283668554,0
visa16,4094969379178903,0
mastercard,5107527481431206,0
mastercard,5204884438291536,1
visa13,4788906497249,0
visa16,4911098889947291,0
mastercard,5196270323961526,0
visa16,4227345320836123,0
amex,344583639636620,1
amex,342875956282752,0
visa13,4422134370859,0
mastercard,5121978162405534,0
visa16,4787101363394500,0
visa16,4352786545720963,0
mastercard,5249235203381126,0
mastercard,5287662974198046,1
visa16,4552009910960413,0
visa13,4492462419206,0
mastercard,5243938970261720,1
mastercard,5159554542101088,0
visa16,4567315797030359,0
amex,372253600980168,0
visa13,4917871113198,0
visa13,4374134070254,0
mastercard,5251098708942874,0
visa16,4273066152391457,1
mastercard,5242911749317041,0
mastercard,5292597635004782,0
visa13,4919118940185,0
visa16,4522694905834702,0
visa16,4810959662548105,0
amex,348940699386296,0
visa16,4894315612495641,1
mastercard,5166240846485622,0
amex,348932896632002,0
amex,345794497731796,0
amex,348178818823127,1
mastercard,5368444030501741,0
visa16,4054093483763282,1
visa16,4061456179585536,0
visa16,4144307639159712,0
amex,346762358211157,0
amex,371574348326401,0
visa16,4276193217830571,0
amex,372191707804826,0
mastercard,5367472688292454,0
amex,346846751711101,0
visa16,4203239095435948,1
mastercard,5130630917761286,1
visa16,4633488927620959,0
amex,342004494315764,0
visa13,4854614371678,0
amex,379412734330459,0
visa16,4737254838995590,0
mastercard,5108483260343098,0
amex,379947259484595,0
mastercard,5130673487967859,1
mastercard,5144153969792293,0
mastercard,5184517358878809,0
visa16,4207167202320354,1
visa13,4784415243927,0
mastercard,5262667207167865,0
visa16,4807721193385471,0
visa16,4584208897570177,0
visa16,4062988664961078,1
visa16,4888936188316396,0
amex,343641933429273,0
visa16,4856366969090804,0
amex,379674276589681,1
mastercard,5394385659161390,0
visa16,4315638139730195,0
amex,377253481640530,0
mastercard,5236983634082996,0
amex,378763670776779,0
mastercard,5205513569196565,1
amex,347832956960940,0
mastercard,5185452779379089,0
mastercard,5273790019443097,0
visa16,4860217966933179,0
amex,370125797790703,0
visa16,4120465865877031,0
visa13,4949810530802,0
visa16,4570016252821408,1
mastercard,5352263259673694,0
visa16,4304056187882326,1
visa16,4366854167399021,0
visa16,4723463860988516,0
visa13,4067311427756,0
amex,341350950541349,0
visa16,4913179179149232,0
amex,348992844754670,1
visa13,4986991304813,0
visa16,4147318043437682,0
amex,348566593437701,0
visa16,4762855967159770,1
mastercard,5384901798219782,0
mastercard,5214964176035911,0
visa16,4707592832757268,0
mastercard,5227727550986081,0
visa13,4326715249509,0
visa13,4274598288394,0
amex,375158760976327,0
visa16,4275800105211034,1
visa13,4692242664472,0
visa16,4528699055880771,0
visa16,4829309798501504,0
visa16,4519312892633863,1
mastercard,5340541796083054,0
amex,342467763137385,0
visa16,4623119678075893,0
amex,346025078806684,0
mastercard,5151992961976457,0
mastercard,5261746767474837,1
mastercard,5268293327145758,0
mastercard,5361242016412397,1
visa16,4318205810878052,0
visa16,4766691083750671,0
visa16,4136543055685265,0
visa13,4451443172029,1
mastercard,5272315936302811,0
mastercard,5145969626522149,0
amex,372133027140663,0
visa16,4026598881650670,0
visa16,4399532777994917,0
amex,372156811025741,0
visa16,4330321503808951,0
visa16,4786642311411459,1
mastercard,5360102338567313,0
mastercard,5225867114104821,0
visa16,4245144496195069,0
mastercard,5264411939670542,0
amex,378835496480578,0
visa13,4451125396458,1
visa16,4827870968985647,0
mastercard,5150851938613554,1
amex,377420106364156,0
mastercard,5270656747606227,0
mastercard,5243719134981118,0
visa16,4361127277351033,0
amex,377148165508484,1
visa16,4213891093758784,0
visa13,4299439581657,0
amex,375260875393172,0
visa16,4876665090036727,0
visa16,4561769668477923,0
visa16,4211202774801780,0
visa16,4952020090357979,0
mastercard,5234671982849536,1
visa13,4220949321574,0
visa16,4690097864234714,0
amex,341779544765891,0
mastercard,5237121340940921,1
mastercard,5246886016866589,0
mastercard,5199601223605713,0
visa16,4407261482264610,0
visa16,4972284003134877,1
visa13,4523129641749,0
visa16,4653162483550307,0
mastercard,5376842695745000,0
visa16,4025686520070276,0
mastercard,5269150439576933,0
visa16,4562439162051983,0
visa16,4419447891053233,1
visa16,4993816542169446,0
visa16,4094382721442433,0
visa13,4814900065160,0
visa16,4708115070332070,1
visa16,4270915858177581,0
visa16,4904340386928948,0
visa16,4733014689656863,0
visa13,4903245673992,1
mastercard,5201692201085586,0
mastercard,5227271259532466,0
visa16,4393817128482696,0
visa13,4584647116382,0
amex,378165780335613,0
amex,346663420269910,0
mastercard,5314125575142281,1
visa16,4443939022784017,0
amex,374064819897848,0
visa16,4503609803675117,0
mastercard,5313425885995100,0
visa13,4127553985547,1
mastercard,5156279841932768,1
mastercard,5165301355664477,0
mastercard,5200060252638755,0
amex,342236116343838,0
visa16,4642329179472575,0
visa16,4842302231228390,0
visa16,4638611145992406,0
visa13,4117743311910,0
visa16,4232231677759196,1
amex,340985995497519,0
mastercard,5185220929390250,0
visa16,4525788097020273,0
mastercard,5392560339700237,0
mastercard,5282984830968924,0
visa16,4092513616957836,1
visa16,4463414917925997,0
visa13,4756058271118,0
amex,349280707724009,1
mastercard,5382588113480751,0
amex,370996653315755,0
amex,342970208567868,0
mastercard,5163702518478808,0
visa13,4912948483005,0
visa16,4005416008277399,0
mastercard,5352352823857162,1
amex,373539159586342,0
mastercard,5199134279833724,0
mastercard,5353809077751820,1
visa16,4699354524658118,0
visa16,4874222136102204,0
amex,340843976805582,0
mastercard,5388807783462020,0
visa16,4750316150890279,0
mastercard,5220397857529732,1
mastercard,5238199445180105,0
amex,347964466386900,1
amex,374074565714014,0
mastercard,5334178168529170,0
amex,372562175498251,0
amex,373709791943157,0
mastercard,5118448467862172,1
mastercard,5348949387015223,0
mastercard,5157593775165131,0
amex,347461080228568,0
visa16,4460366614464576,0
visa16,4392115372432595,1
mastercard,5209877685792151,0
mastercard,5353641398162746,0
amex,344088991472630,0
visa16,4908103991987055,0
mastercard,5225983304610707,0
mastercard,5205510958514697,1
visa16,4409712254232530,0
visa16,4632097195718626,0
amex,370799550919970,0
amex,348642033336033,1
amex,340589456331892,0
amex,346076929641465,0
visa16,4562315163711405,0
amex,373671157438968,0
mastercard,5371839441041820,0
amex,346991257409626,0
visa16,4094156929834967,1
mastercard,5178009184932420,0
visa13,4213804684897,0
visa16,4636002768777195,1
mastercard,5191819082152043,0
visa16,4055108561784585,0
visa16,4527869342706870,0
visa16,4396585501966240,0
amex,375913899958418,0
mastercard,5250752400993681,1
visa16,4824338550615215,0
visa16,4467273937609775,0
visa13,4757897302924,0
visa16,4717843799394712,0
mastercard,5346256702227521,0
visa13,4494834350903,0
amex,349274090058299,1
amex,377625781139000,0
mastercard,5126414388444904,0
amex,371049231931450,1
visa16,4368940881068881,0
mastercard,5118841521262324,0
visa16,4924754156376516,0
visa16,4530220669558178,0
visa13,4144346586565,0
visa16,4992260517154573,0
mastercard,5358469976528855,0
mastercard,5271946427695585,1
amex,341703884948065,0
visa16,4464607828531445,0
mastercard,5159875671317405,0
visa13,4307134888515,1
visa16,4733576925410735,0
visa16,4823441701624093,0
visa16,4388572057643589,0
amex,347583310209785,0
visa16,4777985188768845,1
amex,343223249255674,0
visa13,4301150903167,1
amex,345526629225317,0
visa16,4053026920747584,0
visa16,4695506300252713,0
visa16,4471513554515696,0
visa13,4584345865561,1
visa16,4589602263041729,0
visa16,4724562564044374,0
visa13,4776366310911,0
mastercard,5133380246749670,0
visa16,4216176499413425,0
visa16,4963136842438599,0
amex,374932356605123,0
mastercard,5246948728904205,0
visa16,4889521630822800,1
visa16,4130716956388678,1
visa16,4014832604819260,0
visa13,4298976062402,0
visa16,4470996534919503,0
visa16,4834101322292798,0
visa16,4296184811835484,0
visa13,4163009753965,0
mastercard,5308299971702077,1
visa16,4957605673729241,0
amex,373714923289685,0
visa16,4588657489066638,1
amex,371128581639291,0
amex,374599465570835,0
amex,375133999092238,0
visa16,4965759801199726,0
mastercard,5204552915876919,0
amex,349867293071819,0
visa16,4656256229399297,0
visa16,4923786274212927,0
visa16,4511274682636092,1
visa13,4653452363361,0
visa16,4522831306649251,0
visa16,4143649907383586,0
mastercard,5286450504193286,0
visa13,4500006671759,1
mastercard,5364359847986014,0
visa16,4014750936712112,0
visa13,4625943848994,0
mastercard,5350369777128897,1
visa16,4657277988291896,0
visa13,4245271311778,0
visa13,4072069043532,1
mastercard,5162444587324453,0
mastercard,5330376261595957,0
mastercard,5253230607818081,0
mastercard,5298643348769750,0
mastercard,5397646025686247,0
mastercard,5323335838869328,0
visa16,4496106690875008,0
amex,372826635177783,1
mastercard,5110243338765821,0
mastercard,5391838290527224,0
visa16,4051299466565882,1
